name,home,away,period,groupName
Ball possession,49%,51%,ALL,Match overview
Expected goals,1.58,2.52,ALL,Match overview
Big chances,3,4,ALL,Match overview
Total shots,14,19,ALL,Match overview
Goalkeeper saves,5,4,ALL,Match overview
Corner kicks,3,3,ALL,Match overview
Fouls,15,9,ALL,Match overview
Passes,409,426,ALL,Match overview
Tackles,19,18,ALL,Match overview
Free kicks,9,14,ALL,Match overview
Yellow cards,2,3,ALL,Match overview
Total shots,14,19,ALL,Shots
Shots on target,3,7,ALL,Shots
Hit woodwork,2,0,ALL,Shots
Shots off target,8,5,ALL,Shots
Blocked shots,3,7,ALL,Shots
Shots inside box,8,12,ALL,Shots
Shots outside box,6,7,ALL,Shots
Big chances scored,0,1,ALL,Attack
Big chances missed,3,3,ALL,Attack
Through balls,1,0,ALL,Attack
Touches in penalty area,29,34,ALL,Attack
Fouled in final third,0,2,ALL,Attack
Offsides,4,1,ALL,Attack
Accurate passes,324,348,ALL,Passes
Throw-ins,14,21,ALL,Passes
Final third entries,60,49,ALL,Passes
Final third phase,100/139 (72%),87/118 (74%),ALL,Passes
Long balls,29/54 (54%),22/54 (41%),ALL,Passes
Crosses,4/17 (24%),3/13 (23%),ALL,Passes
Duels,50%,50%,ALL,Duels
Dispossessed,6,13,ALL,Duels
Ground duels,39/77 (51%),38/77 (49%),ALL,Duels
Aerial duels,6/13 (46%),7/13 (54%),ALL,Duels
Dribbles,12/24 (50%),6/12 (50%),ALL,Duels
Tackles won,32%,61%,ALL,Defending
Total tackles,19,18,ALL,Defending
Interceptions,10,11,ALL,Defending
Recoveries,55,47,ALL,Defending
Clearances,24,26,ALL,Defending
Errors lead to a shot,1,4,ALL,Defending
Total saves,5,4,ALL,Goalkeeping
Goals prevented,0.33,0.78,ALL,Goalkeeping
High claims,1,1,ALL,Goalkeeping
Punches,0,1,ALL,Goalkeeping
Goal kicks,7,10,ALL,Goalkeeping
Ball possession,48%,52%,1ST,Match overview
Expected goals,0.18,1.95,1ST,Match overview
Big chances,0,3,1ST,Match overview
Total shots,5,11,1ST,Match overview
Goalkeeper saves,5,2,1ST,Match overview
Corner kicks,2,1,1ST,Match overview
Passes,235,255,1ST,Match overview
Tackles,7,10,1ST,Match overview
Free kicks,2,3,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Total shots,5,11,1ST,Shots
Shots on target,2,6,1ST,Shots
Hit woodwork,1,0,1ST,Shots
Shots off target,1,2,1ST,Shots
Blocked shots,2,3,1ST,Shots
Shots inside box,3,8,1ST,Shots
Shots outside box,2,3,1ST,Shots
Big chances scored,0,1,1ST,Attack
Big chances missed,0,2,1ST,Attack
Through balls,0,0,1ST,Attack
Fouled in final third,0,1,1ST,Attack
Offsides,3,0,1ST,Attack
Accurate passes,189,219,1ST,Passes
Throw-ins,9,14,1ST,Passes
Final third entries,28,35,1ST,Passes
Long balls,18/31 (58%),14/27 (52%),1ST,Passes
Crosses,0/6 (0%),2/7 (29%),1ST,Passes
Duels,51%,49%,1ST,Duels
Dispossessed,5,6,1ST,Duels
Ground duels,18/35 (51%),17/35 (49%),1ST,Duels
Aerial duels,2/4 (50%),2/4 (50%),1ST,Duels
Dribbles,10/15 (67%),3/4 (75%),1ST,Duels
Tackles won,43%,80%,1ST,Defending
Total tackles,7,10,1ST,Defending
Interceptions,5,5,1ST,Defending
Recoveries,28,25,1ST,Defending
Clearances,12,8,1ST,Defending
Total saves,5,2,1ST,Goalkeeping
Goal kicks,3,0,1ST,Goalkeeping
Ball possession,51%,49%,2ND,Match overview
Expected goals,1.41,0.58,2ND,Match overview
Big chances,3,1,2ND,Match overview
Total shots,9,8,2ND,Match overview
Goalkeeper saves,0,2,2ND,Match overview
Corner kicks,1,2,2ND,Match overview
Passes,174,171,2ND,Match overview
Tackles,12,8,2ND,Match overview
Free kicks,7,11,2ND,Match overview
Yellow cards,2,3,2ND,Match overview
Total shots,9,8,2ND,Shots
Shots on target,1,1,2ND,Shots
Hit woodwork,1,0,2ND,Shots
Shots off target,7,3,2ND,Shots
Blocked shots,1,4,2ND,Shots
Shots inside box,5,4,2ND,Shots
Shots outside box,4,4,2ND,Shots
Big chances scored,0,0,2ND,Attack
Big chances missed,3,1,2ND,Attack
Through balls,1,0,2ND,Attack
Fouled in final third,0,1,2ND,Attack
Offsides,1,1,2ND,Attack
Accurate passes,135,129,2ND,Passes
Throw-ins,5,7,2ND,Passes
Final third entries,32,14,2ND,Passes
Long balls,11/23 (48%),8/27 (30%),2ND,Passes
Crosses,4/11 (36%),1/6 (17%),2ND,Passes
Duels,49%,51%,2ND,Duels
Dispossessed,1,7,2ND,Duels
Ground duels,21/42 (50%),21/42 (50%),2ND,Duels
Aerial duels,4/9 (44%),5/9 (56%),2ND,Duels
Dribbles,2/9 (22%),3/8 (38%),2ND,Duels
Tackles won,25%,38%,2ND,Defending
Total tackles,12,8,2ND,Defending
Interceptions,5,6,2ND,Defending
Recoveries,27,22,2ND,Defending
Clearances,12,18,2ND,Defending
Total saves,0,2,2ND,Goalkeeping
Goal kicks,4,10,2ND,Goalkeeping
