Tournament,Season Name,Year,Season ID
Premier League,Premier League 24/25,24/25,61627
Premier League,Premier League 23/24,23/24,52186
Premier League,Premier League 22/23,22/23,41886
Premier League,Premier League 21/22,21/22,37036
Premier League,Premier League 20/21,20/21,29415
Premier League,Premier League 19/20,19/20,23776
Premier League,Premier League 18/19,18/19,17359
Premier League,Premier League 17/18,17/18,13380
Premier League,Premier League 16/17,16/17,11733
Premier League,Premier League 15/16,15/16,10356
EFL Cup,EFL Cup 24/25,24/25,62483
EFL Cup,EFL Cup 23/24,23/24,52393
EFL Cup,EFL Cup 22/23,22/23,42443
EFL Cup,EFL Cup 21/22,21/22,37177
EFL Cup,EFL Cup 20/21,20/21,29404
EFL Cup,EFL Cup 19/20,19/20,24004
